2018-03-22 00:52:46 time: 0:04:44.315966 files compared: 8555, t<72h: 8454, t>72h: 100, updated: 100, errors:0
2018-03-22 01:16:43 time: 0:04:41.680920 files compared: 8720, t<72h: 8619, t>72h: 100, updated: 100, errors:0
2018-03-22 01:52:45 time: 0:04:43.391949 files compared: 8870, t<72h: 8769, t>72h: 100, updated: 100, errors:0
2018-03-22 02:16:52 time: 0:04:50.292037 files compared: 9046, t<72h: 8945, t>72h: 100, updated: 100, errors:0
2018-03-22 02:52:58 time: 0:04:56.367440 files compared: 9213, t<72h: 9112, t>72h: 100, updated: 100, errors:0
2018-03-22 03:17:19 time: 0:05:17.018520 files compared: 9397, t<72h: 9296, t>72h: 100, updated: 100, errors:0
2018-03-22 03:50:48 time: 0:02:46.559203 files compared: 9489, t<72h: 9435, t>72h: 54, updated: 54, errors:0
2018-03-22 04:12:03 time: 0:00:00.628662 files compared: 9489, t<72h: 9489, t>72h: 0, updated: 0, errors:0
2018-03-22 04:48:11 time: 0:00:09.750672 files compared: 9489, t<72h: 9486, t>72h: 3, updated: 3, errors:0
2018-03-22 05:12:01 time: 0:00:00.151888 files compared: 9489, t<72h: 9489, t>72h: 0, updated: 0, errors:0
2018-03-22 05:48:08 time: 0:00:06.857101 files compared: 9489, t<72h: 9487, t>72h: 2, updated: 2, errors:0
2018-03-22 06:12:02 time: 0:00:00.152464 files compared: 9489, t<72h: 9489, t>72h: 0, updated: 0, errors:0
2018-03-22 06:48:12 time: 0:00:10.492531 files compared: 9489, t<72h: 9485, t>72h: 4, updated: 4, errors:0
2018-03-22 07:12:08 time: 0:00:06.307180 files compared: 9489, t<72h: 9487, t>72h: 2, updated: 2, errors:0
2018-03-22 07:48:16 time: 0:00:13.748854 files compared: 9489, t<72h: 9484, t>72h: 5, updated: 5, errors:0
2018-03-22 08:12:20 time: 0:00:18.256326 files compared: 9489, t<72h: 9484, t>72h: 5, updated: 5, errors:0
2018-03-22 08:48:19 time: 0:00:17.751585 files compared: 9489, t<72h: 9483, t>72h: 6, updated: 6, errors:0
2018-03-22 09:12:13 time: 0:00:11.297870 files compared: 9489, t<72h: 9485, t>72h: 4, updated: 4, errors:0
2018-03-22 09:48:30 time: 0:00:28.779634 files compared: 9489, t<72h: 9479, t>72h: 10, updated: 10, errors:0
2018-03-22 10:12:32 time: 0:00:30.157638 files compared: 9489, t<72h: 9478, t>72h: 11, updated: 11, errors:0
2018-03-22 10:48:45 time: 0:00:43.776778 files compared: 9489, t<72h: 9474, t>72h: 15, updated: 15, errors:0
2018-03-22 11:12:11 time: 0:00:10.007260 files compared: 9489, t<72h: 9486, t>72h: 3, updated: 3, errors:0
2018-03-22 11:48:24 time: 0:00:22.444147 files compared: 9489, t<72h: 9482, t>72h: 7, updated: 7, errors:0
2018-03-22 12:12:31 time: 0:00:28.706746 files compared: 9489, t<72h: 9479, t>72h: 10, updated: 10, errors:0
2018-03-22 12:48:21 time: 0:00:19.962758 files compared: 9491, t<72h: 9484, t>72h: 7, updated: 7, errors:0
2018-03-22 13:12:31 time: 0:00:28.683147 files compared: 9491, t<72h: 9481, t>72h: 10, updated: 10, errors:0
2018-03-22 13:48:45 time: 0:00:42.856416 files compared: 9491, t<72h: 9476, t>72h: 15, updated: 15, errors:0
2018-03-22 14:12:22 time: 0:00:20.351562 files compared: 9491, t<72h: 9483, t>72h: 8, updated: 8, errors:0
2018-03-22 14:48:18 time: 0:00:15.945452 files compared: 9491, t<72h: 9486, t>72h: 5, updated: 5, errors:0
2018-03-22 15:12:33 time: 0:00:31.225665 files compared: 9492, t<72h: 9483, t>72h: 9, updated: 9, errors:0
2018-03-22 15:48:29 time: 0:00:26.917234 files compared: 9492, t<72h: 9483, t>72h: 9, updated: 9, errors:0
2018-03-22 16:12:15 time: 0:00:13.018283 files compared: 9492, t<72h: 9488, t>72h: 4, updated: 4, errors:0
2018-03-22 16:48:22 time: 0:00:20.384430 files compared: 9492, t<72h: 9485, t>72h: 7, updated: 7, errors:0
2018-03-22 17:12:53 time: 0:00:51.294390 files compared: 9492, t<72h: 9474, t>72h: 18, updated: 18, errors:0
2018-03-22 17:48:35 time: 0:00:33.314894 files compared: 9492, t<72h: 9480, t>72h: 12, updated: 12, errors:0
2018-03-22 18:12:10 time: 0:00:08.741251 files compared: 9492, t<72h: 9489, t>72h: 3, updated: 3, errors:0
2018-03-22 18:49:04 time: 0:01:02.535971 files compared: 9492, t<72h: 9471, t>72h: 21, updated: 21, errors:0
2018-03-22 19:12:24 time: 0:00:21.885047 files compared: 9492, t<72h: 9485, t>72h: 7, updated: 7, errors:0
